Player_ID,Player_Name,Season,Team,Country,Role,Matches,Innings,Runs,Highest_Score,Average,Strike_Rate,Fours,Sixes,Wickets,Economy,Bowling_Average,Catches,Player_Price_Cr,Status,Date_Updated
P149,RUTURAJ GAIKWAD,2025,MI,India,Wicket Keeper,1,4,620,84,60.22,-10,67,60,27,8.04,32.45,0,,Injured,9/9/2025
P094,HARDIK PANDYA,2025,KKR,South Africa,Bowler,7,10,517,60,57.04,100.36,1,11,26,5.9,42.98,9,,Playing,5/23/2024
P076,Suryakumar Yadav,2024,CSK,South Africa,All-rounder,9,8,860,60,21,-10,54,9,12,4.14,46.54,16,24.84,Released,3/11/2025
P206,Jasprit Bumrah,2023,Mumbai Indians,India,All-rounder,3,12,,31,22.75,350,94,41,0,4.98,44.63,7,,Playing,9/10/2024
P038,Suryakumar Yadav,2023,MI,South Africa,Wicket Keeper,11,2,17,88,10.84,170.11,69,45,1,8.77,39.24,2,2.19,Released,6/6/2024
P139,RAVINDRA JADEJA,2023,MI,,Bowler,8,11,,44,60.69,-10,15,54,2,5.83,18.91,3,,Retained,20/05/2024
P088,Suryakumar Yadav,2024,Chennai Super Kings,India,Bowler,0,13,,137,22.84,111.29,29,52,17,9.49,16.63,10,,Playing,5/27/2024
P082,Ravindra Jadeja,2025,SRH,,Batter,4,9,153,13,62.27,,97,17,7,3.88,21.5,3,7.8,Released,11/3/2025
P079, Ravindra Jadeja ,2023,Royal Challengers Bengaluru,,Bowler,0,10,498,70,8.62,-10,96,13,13,4.74,43.66,9,18.6,Retained,5/27/2024
P176, Ruturaj Gaikwad ,2025,SRH,New Zealand,Bowler,7,12,336,93,11.1,-10,53,56,1,7.24,46.31,5,1.35,Retained,9/18/2024
P180,MS Dhoni,2025,Sunrisers Hyderabad,South Africa,Bowler,2,2,138,25,12.22,350,57,40,30,5.63,12.9,20,,Injured,9/26/2024
P153, Suryakumar Yadav ,2025,Chennai Super Kings,England,Batter,14,4,788,43,13.37,-10,98,49,27,9.25,38.55,13,21.31,Retained,8/19/2024
P055,KL RAHUL,2024,Sunrisers Hyderabad,South Africa,All-rounder,4,6,,66,70.52,-10,4,20,20,4.21,16.52,9,11.14,Retained,4/23/2023
P211, Ruturaj Gaikwad ,2024,Chennai Super Kings,England,All-rounder,0,1,,71,38.8,,91,40,28,9.11,44.85,12,8.39,Retained,6/26/2025
P066,Virat Kohli,2023,SRH,Australia,Batter,1,2,,77,57.82,,33,19,16,9.42,14.36,16,,Playing,12/11/2024
P018,Ravindra Jadeja,2025,Kolkata Knight Riders,England,Wicket Keeper,8,6,,5,61.08,-10,18,12,2,11.29,46.35,13,8.78,Released,3/30/2025
P167,Rohit Sharma,2024,CSK,Australia,Wicket Keeper,2,0,143,6,15.1,350,1,58,24,9.47,30.22,13,23.13,Released,10/7/2024
P034,Shubman Gill,2025,Sunrisers Hyderabad,New Zealand,Batter,10,9,,86,13.54,-10,68,34,19,5.98,11.15,4,19.23,Released,29/01/2024
P128,SURYAKUMAR YADAV,2025,Sunrisers Hyderabad,South Africa,Bowler,9,0,,33,48.28,-10,14,34,22,9.93,20.27,19,9.24,Released,3/19/2024
P204,Rohit Sharma,2025,RCB,New Zealand,Wicket Keeper,4,3,14,10,15.53,-10,17,31,16,6.47,13.44,14,,Injured,4/17/2023
P202,Virat Kohli,2023,RCB,England,All-rounder,14,6,,114,49,-10,82,23,27,8.48,10.23,18,4.36,Released,8/15/2024
P114,KL Rahul,2023,Sunrisers Hyderabad,Australia,Batter,7,0,190,99,76.39,90.5,21,54,20,4.09,25.82,12,21.31,Playing,28/05/2023
P075,Rohit Sharma,2024,MI,Australia,All-rounder,9,14,155,145,43.34,-10,50,24,22,10.49,47.95,17,5.13,Injured,9/14/2025
P070, Suryakumar Yadav ,2024,Kolkata Knight Riders,South Africa,Batter,7,0,733,125,17.07,350,67,53,21,4.15,39.51,20,5.34,Injured,15/06/2025
P059,Ravindra Jadeja,2025,SRH,New Zealand,Batter,3,2,274,18,8.3,-10,86,59,8,5.55,11.01,4,,Released,4/27/2024
P050,MS DHONI,2023,Chennai Super Kings,Australia,Wicket Keeper,4,1,,101,9.12,111.2,92,47,6,6.72,38.81,6,21.44,Retained,17/08/2024
P066,Ruturaj Gaikwad,2024,Sunrisers Hyderabad,England,Batter,6,2,,51,38.27,-10,23,25,7,4.82,45.91,16,,Released,6/20/2025
P125,Jasprit Bumrah,2023,CSK,South Africa,Batter,2,4,75,25,75.45,-10,91,41,28,7.4,38.75,19,,Playing,8/25/2023
P071,MS DHONI,2025,Kolkata Knight Riders,India,Bowler,11,4,658,88,53.44,350,7,36,17,10.47,41.08,13,,Injured,9/10/2024
P137,RUTURAJ GAIKWAD,2025,Chennai Super Kings,India,Bowler,5,13,,98,50.66,-10,65,6,8,6.18,23.88,8,,Retained,7/13/2023
P161,Rohit Sharma,2023,Kolkata Knight Riders,India,All-rounder,6,2,,109,75.58,,44,42,15,5.96,42.07,0,,Retained,1/2/2025
P095, Rohit Sharma ,2025,Chennai Super Kings,India,Wicket Keeper,8,3,562,45,7.17,,90,6,0,3.26,13.7,19,,Injured,6/1/2024
P113,MS Dhoni,2025,SRH,,Bowler,8,6,,27,11.21,,7,19,18,3.72,46.76,20,1.38,Playing,12/3/2025
P118,Rohit Sharma,2023,Chennai Super Kings,Australia,Bowler,1,3,186,19,25.44,,47,27,21,3.09,20.54,2,15.5,Playing,16/04/2024
P154,ROHIT SHARMA,2023,Royal Challengers Bengaluru,,All-rounder,4,9,,11,43.92,,74,42,10,3.69,16.05,10,10.89,Retained,1/4/2024
P202,MS Dhoni,2024,Kolkata Knight Riders,South Africa,Wicket Keeper,0,10,139,123,39.15,350,67,36,11,11.18,49.92,19,2.01,Retained,7/18/2023
P039,MS DHONI,2024,Royal Challengers Bengaluru,Australia,Bowler,5,12,691,71,48.1,350,53,51,20,4.92,13.62,8,6.13,Released,5/29/2024
P067,Ruturaj Gaikwad,2025,Mumbai Indians,New Zealand,Batter,13,0,358,67,47.06,-10,79,58,1,11,35.25,2,,Retained,3/6/2024
P149,Virat Kohli,2025,KKR,South Africa,Wicket Keeper,5,4,,83,79.58,350,60,47,21,7.56,14.59,4,1.55,Injured,2/7/2025
P053,ROHIT SHARMA,2024,Royal Challengers Bengaluru,India,Wicket Keeper,5,14,316,124,8.87,-10,24,46,10,3.73,36.38,13,,Playing,7/13/2023
P100, Rohit Sharma ,2023,Royal Challengers Bengaluru,India,Wicket Keeper,9,2,760,57,72.8,350,2,57,23,6.87,48.53,2,11.71,Playing,25/08/2024
P214,Ravindra Jadeja,2023,Chennai Super Kings,,Wicket Keeper,10,7,404,48,42.28,200.37,83,52,4,3.12,22.58,18,,Playing,1/7/2025
P034,JASPRIT BUMRAH,2024,Royal Challengers Bengaluru,,Wicket Keeper,8,12,743,69,31.32,,54,43,30,4.1,18.89,5,8.05,Released,3/9/2023
P215,Hardik Pandya,2025,SRH,India,Wicket Keeper,11,6,554,7,77.14,-10,65,50,19,5.86,38.39,18,,Playing,9/8/2023
P202,RUTURAJ GAIKWAD,2025,KKR,Australia,Bowler,3,5,766,88,17.55,-10,23,38,17,7.34,25.81,7,,Retained,11/26/2023
P009, Hardik Pandya ,2025,KKR,,All-rounder,1,14,,95,75.24,350,97,31,18,5.07,31.72,13,,Playing,11/18/2024
P011,MS Dhoni,2025,Kolkata Knight Riders,South Africa,Batter,14,1,,50,41.11,-10,10,47,14,4.26,31.87,7,,Retained,9/2/2023
P035,Hardik Pandya,2023,SRH,,Batter,2,14,684,18,32.03,157.55,15,37,17,5.39,11.39,12,11.36,Playing,10/20/2023
P174, KL Rahul ,2025,Chennai Super Kings,Australia,Wicket Keeper,7,8,,96,73.83,350,79,38,8,9.97,22.66,17,,Injured,6/17/2024
P187, Suryakumar Yadav ,2024,Kolkata Knight Riders,India,Batter,2,3,476,29,72.27,-10,75,59,26,8.16,48.5,9,1.31,Retained,18/12/2024
P202,Ruturaj Gaikwad,2024,Kolkata Knight Riders,New Zealand,Bowler,8,9,,114,40.02,,9,59,22,11.97,37.97,9,18.25,Injured,19/08/2023
P046,RUTURAJ GAIKWAD,2023,CSK,Australia,All-rounder,5,6,90,149,24.14,124,87,20,5,4.86,17.38,0,,Playing,9/26/2023
P100,Rohit Sharma,2025,CSK,,Wicket Keeper,12,6,,117,48.12,-10,76,3,17,6.43,38.11,6,,Injured,26/09/2023
P061, Ruturaj Gaikwad ,2023,RCB,England,Bowler,6,2,397,91,37.46,-10,15,36,3,7.96,11.9,13,9.79,Injured,8/26/2023
P080, MS Dhoni ,2023,Chennai Super Kings,South Africa,Bowler,14,8,651,48,11.62,111.47,32,36,21,3.92,26.58,3,,Playing,2/28/2024
P203,Ravindra Jadeja,2024,Royal Challengers Bengaluru,India,Wicket Keeper,1,13,,52,53.53,,17,49,6,5.49,27.85,11,,Injured,21/08/2024
P179,Hardik Pandya,2023,Royal Challengers Bengaluru,Australia,All-rounder,1,12,,2,9.32,,46,30,4,7.57,48.26,4,22.44,Playing,9/30/2023
P180,Jasprit Bumrah,2023,Mumbai Indians,Australia,Bowler,14,7,439,106,56.33,86.14,91,50,26,8.74,29.5,15,,Injured,4/23/2025
P100,RAVINDRA JADEJA,2025,Kolkata Knight Riders,South Africa,Wicket Keeper,8,6,,138,10.67,-10,73,0,12,11.94,31.79,0,10.43,Released,8/20/2023
P122, KL RAHUL ,2023,MI,New Zealand,All-rounder,6,9,126,141,17.36,350,14,59,10,8.05,47.85,9,8.2,Retained,5/24/2023
P107,MS Dhoni,2025,SRH,England,Bowler,3,6,229,41,43.94,350,38,19,10,4.82,13.32,2,,Released,9/4/2024
P114,MS DHONI,2023,RCB,South Africa,Wicket Keeper,6,1,659,130,9.19,-10,81,31,29,10.69,21.69,5,,Released,11/2/2024
P002,SURYAKUMAR YADAV,2025,SRH,England,Batter,10,5,313,27,60.15,350,7,13,4,11.99,18.67,11,,Released,6/27/2024
P206, Jasprit Bumrah ,2024,RCB,South Africa,Wicket Keeper,6,4,380,137,29.11,85.7,25,4,10,5.6,34.38,18,10.76,Released,12/27/2023
P016,MS DHONI,2025,KKR,South Africa,Batter,13,0,344,65,50.19,,81,17,9,6.89,49.48,8,,Retained,1/3/2024
P010,Rohit Sharma,2023,Sunrisers Hyderabad,Australia,Batter,2,3,308,131,15.85,,20,26,25,7.96,39.87,1,,Injured,8/22/2025
P211, KL Rahul ,2025,KKR,England,Wicket Keeper,10,5,251,73,76.87,-10,86,50,8,11.1,37.84,6,,Playing,9/19/2024
P069,Ruturaj Gaikwad,2025,Sunrisers Hyderabad,England,Bowler,13,6,852,54,36.04,202.93,9,10,19,10.09,11.01,1,,Playing,1/3/2024
P097,HARDIK PANDYA,2024,Mumbai Indians,England,Bowler,2,2,499,19,72.9,350,85,44,2,9.19,23.81,19,8.81,Released,5/11/2023
P022,JASPRIT BUMRAH,2024,Sunrisers Hyderabad,,Batter,11,7,,117,34.88,,34,58,25,10.57,15.28,6,13.86,Released,29/01/2025
P130,Jasprit Bumrah,2024,Kolkata Knight Riders,,All-rounder,11,0,195,87,65.49,-10,74,2,15,6.21,11.63,9,,Injured,4/1/2025
P119, Rohit Sharma ,2025,Sunrisers Hyderabad,Australia,Batter,13,5,208,126,77.83,,100,43,7,9.99,18.77,13,20.42,Playing,8/30/2023
P098, Shubman Gill ,2024,Kolkata Knight Riders,South Africa,All-rounder,12,14,,23,54.53,-10,35,34,3,5.46,21.55,7,,Released,8/26/2025
P173,RAVINDRA JADEJA,2025,Mumbai Indians,Australia,Bowler,11,13,644,20,67.15,,29,9,16,10.9,48.64,6,12.2,Released,1/13/2025
P180,ROHIT SHARMA,2024,Chennai Super Kings,Australia,Wicket Keeper,7,13,524,37,59.56,350,96,10,9,6.38,26.67,20,,Released,21/03/2025
P151,VIRAT KOHLI,2023,RCB,Australia,Wicket Keeper,14,5,781,48,16.08,350,8,43,19,4.09,24.2,12,4.59,Released,10/26/2023
P036,SHUBMAN GILL,2024,SRH,,All-rounder,13,0,809,7,53.21,-10,65,32,24,6.53,19.61,10,5.77,Retained,3/4/2024
P017,JASPRIT BUMRAH,2023,Chennai Super Kings,,Batter,0,7,,33,10.84,111.42,91,19,18,3.94,28.71,4,,Playing,8/7/2023
P032,SURYAKUMAR YADAV,2025,RCB,,Batter,10,3,,63,74.01,192.94,52,20,15,7.45,49.26,19,4.78,Playing,3/15/2025
P203, Virat Kohli ,2023,RCB,Australia,Wicket Keeper,10,9,386,58,76.53,,59,21,6,6.24,49.6,19,11.42,Released,4/7/2024
P097, KL Rahul ,2024,Sunrisers Hyderabad,India,Bowler,0,7,643,32,10.37,,5,19,20,4.64,41.99,7,,Injured,1/23/2024
P020,Suryakumar Yadav,2024,Kolkata Knight Riders,England,Wicket Keeper,10,6,163,111,24.06,350,72,34,19,6.82,46.08,13,,Playing,9/4/2023
P105,KL Rahul,2025,KKR,England,Wicket Keeper,3,14,772,5,34.45,-10,81,24,4,9.8,30.2,1,,Playing,8/29/2024
P034,Jasprit Bumrah,2023,Royal Challengers Bengaluru,,Bowler,4,10,,13,6.57,,23,2,14,3.87,34.94,8,0.69,Injured,8/19/2024
P115,Ruturaj Gaikwad,2025,Kolkata Knight Riders,India,Wicket Keeper,6,7,441,40,26.25,-10,67,51,11,8.43,42.49,4,,Injured,18/02/2024
P055,Virat Kohli,2025,RCB,,Wicket Keeper,6,10,687,20,61.07,-10,42,60,5,11.82,33.27,8,10.14,Retained,8/6/2023
P019,Ravindra Jadeja,2025,Chennai Super Kings,South Africa,Batter,3,14,643,86,46.04,,33,57,10,6.55,23.39,3,7.06,Retained,4/2/2025
P212,KL RAHUL,2024,RCB,India,Bowler,0,13,,39,39.28,350,4,3,7,8.38,47.78,0,,Injured,3/9/2025
P207,KL Rahul,2024,SRH,India,All-rounder,0,8,119,20,60.87,,4,53,13,7.43,27.26,6,16.15,Retained,1/9/2025
P143,Rohit Sharma,2025,Sunrisers Hyderabad,New Zealand,Bowler,12,0,810,121,40.99,,17,29,27,3.23,41,13,14.63,Injured,25/01/2024
P197,MS Dhoni,2023,KKR,,Wicket Keeper,13,6,,129,41.32,-10,77,15,14,10.88,36.67,17,,Retained,8/15/2024
P011, Jasprit Bumrah ,2023,Chennai Super Kings,South Africa,Batter,9,12,131,108,36.63,-10,23,22,20,3.12,48.62,2,10.59,Released,19/03/2024
P066,VIRAT KOHLI,2024,MI,,Bowler,6,6,227,67,74.79,,3,0,5,10.26,38.09,10,7.72,Playing,20/08/2024
P052,Virat Kohli,2024,Royal Challengers Bengaluru,New Zealand,Bowler,5,3,408,147,43.35,-10,16,7,19,11.76,48.28,12,12.84,Injured,12/24/2024
P136,MS Dhoni,2024,RCB,,Batter,2,1,176,43,70.39,350,13,45,26,3.03,44.82,0,,Playing,22/09/2024
P082,KL Rahul,2023,Mumbai Indians,New Zealand,All-rounder,14,4,,104,11.7,,11,23,7,3.77,44.11,9,,Injured,3/24/2024
P047,KL Rahul,2023,Royal Challengers Bengaluru,New Zealand,Batter,2,3,97,93,25.08,-10,78,42,29,7.51,43.62,8,,Released,12/21/2024
P119,JASPRIT BUMRAH,2023,MI,New Zealand,Bowler,3,5,872,79,16.31,,55,23,20,10.02,22.12,3,10.17,Retained,27/03/2024
P165,KL Rahul,2024,Sunrisers Hyderabad,,All-rounder,13,10,,139,11,350,43,8,26,4.48,36.96,0,,Injured,7/17/2025
P129,Ruturaj Gaikwad,2025,KKR,England,Wicket Keeper,5,10,406,3,72.1,-10,21,25,13,8.39,36.57,9,0.47,Retained,8/17/2025
P085,Rohit Sharma,2025,KKR,South Africa,Batter,1,2,726,104,44.04,,7,25,4,11.16,26.25,1,,Released,7/30/2025
P013,RAVINDRA JADEJA,2024,Mumbai Indians,England,Bowler,12,10,,88,33.81,180.84,74,47,30,7.32,22.55,10,4.06,Retained,1/5/2025
P209,Ravindra Jadeja,2024,RCB,New Zealand,Wicket Keeper,0,5,87,132,18.4,,41,19,27,3.72,21.89,15,,Released,5/26/2023
P160, Ruturaj Gaikwad ,2025,Sunrisers Hyderabad,,All-rounder,14,12,801,42,58.56,350,92,45,28,7.13,31.5,17,,Injured,8/12/2025
P112, Shubman Gill ,2023,SRH,England,Bowler,5,1,,86,54.34,,80,4,24,10.59,45.62,2,23.22,Injured,4/14/2024
P028,SHUBMAN GILL,2025,KKR,Australia,Batter,7,10,100,130,22.86,206.14,12,44,16,4.93,46.13,7,,Playing,4/2/2024
P165,Ravindra Jadeja,2024,Kolkata Knight Riders,England,Wicket Keeper,1,6,440,120,71.01,,93,36,9,6.41,39.46,5,,Released,7/16/2024
P049, Virat Kohli ,2025,Sunrisers Hyderabad,South Africa,Wicket Keeper,8,10,370,59,53.98,350,32,43,1,5.68,23.32,8,1.46,Released,22/09/2024
P120,RUTURAJ GAIKWAD,2025,MI,,All-rounder,12,4,,30,56.39,,69,56,10,10.71,47.97,4,,Retained,6/19/2025
P050,RAVINDRA JADEJA,2025,Chennai Super Kings,New Zealand,All-rounder,5,10,,85,27.45,-10,94,43,16,4.74,12.65,11,,Released,5/16/2023
P079,Rohit Sharma,2025,RCB,New Zealand,Batter,3,12,,10,19.65,350,70,33,18,10.88,45.04,10,1.14,Released,10/4/2023
P047,Jasprit Bumrah,2023,Chennai Super Kings,New Zealand,Batter,8,14,,21,13.02,,92,30,15,8.83,43.87,3,,Injured,2/7/2023
P213,ROHIT SHARMA,2023,KKR,New Zealand,All-rounder,9,6,92,6,18.75,350,31,58,5,8.23,20,8,,Released,4/10/2023
P094,Ruturaj Gaikwad,2024,Royal Challengers Bengaluru,,All-rounder,4,7,,18,51.11,,6,39,22,3.96,13.05,4,19.41,Released,8/21/2023
P144,RUTURAJ GAIKWAD,2023,KKR,England,All-rounder,8,9,,114,10.45,350,86,46,27,4.12,16.37,14,,Released,26/02/2025
P136,Ruturaj Gaikwad,2025,RCB,South Africa,Bowler,4,5,123,107,59.1,350,94,56,22,4.48,30.6,0,17.86,Released,23/04/2025
P146,Shubman Gill,2024,Royal Challengers Bengaluru,,Bowler,3,10,805,12,16.79,350,10,22,21,11.1,32.76,11,,Released,19/08/2024
P117,MS Dhoni,2025,CSK,Australia,Bowler,7,1,816,92,6.01,-10,50,36,28,4.89,18.52,7,12.4,Injured,23/09/2023
P007,HARDIK PANDYA,2024,CSK,,All-rounder,9,5,,40,21.13,,20,15,10,4.53,12.13,16,4.27,Released,8/28/2024
P174,Ruturaj Gaikwad,2024,RCB,,Bowler,12,3,,30,69.93,137.22,2,29,19,4.29,27.27,20,,Released,21/10/2024
P182,Rohit Sharma,2023,Kolkata Knight Riders,South Africa,All-rounder,9,12,400,125,28.87,-10,67,60,24,9.79,43.66,11,12.72,Released,6/20/2024
P178,Jasprit Bumrah,2023,Royal Challengers Bengaluru,South Africa,Batter,9,2,,144,31.96,350,81,37,10,6.29,42.86,8,18.45,Playing,12/2/2024
P112, MS Dhoni ,2023,Kolkata Knight Riders,India,Batter,11,8,454,141,59.54,350,52,2,10,11.69,38.22,15,4.15,Retained,8/25/2023
P131,MS DHONI,2023,CSK,New Zealand,Bowler,5,14,,26,74.33,,80,5,0,10.16,15.61,19,,Injured,10/7/2024
P199,Hardik Pandya,2024,Royal Challengers Bengaluru,,Bowler,12,0,648,23,54.8,,62,27,22,8.12,37.63,13,24.01,Retained,8/8/2025
P140, SHUBMAN GILL ,2025,KKR,India,Batter,2,12,272,125,7.64,,39,10,22,7.69,26.68,3,,Playing,8/4/2025
P068,Virat Kohli,2025,MI,England,Bowler,5,12,817,131,32.22,191.1,59,58,7,3.33,14.52,18,0.73,Retained,5/1/2025
P092,Shubman Gill,2023,Kolkata Knight Riders,England,Bowler,1,1,,119,13.33,,17,59,25,11.15,16.29,20,,Playing,7/7/2025
